observation_id,group_id
1,1
1,2
1,3
1,4
2,1
2,2
2,3
2,4
3,1
3,3
4,1
4,2
4,3
4,4
5,1
5,2
6,1
7,1
7,2
7,3
7,4
8,1
8,2
9,1
9,2
9,3
9,4
10,1
10,2
11,1
11,2
11,3
11,4
12,1
12,5
15,1
15,2
15,3
15,4
16,1
16,2
16,3
17,1
18,1
18,2
18,3
18,4
19,1
19,2
19,3
19,4
21,1
21,2
21,3
21,4
22,1
22,3
23,1
23,3
24,1
24,2
24,3
25,1
25,2
25,3
25,4
25,5
25,6
26,1
26,2
26,3
26,4
27,1
27,2
27,3
27,4
27,5
27,6
28,1
28,2
28,3
28,4
29,1
29,3
29,4
30,1
30,3
30,4
30,5
31,1
32,1
33,1
33,2
33,3
33,4
34,1
34,2
34,3
35,1
35,2
35,3
35,4
36,1
36,2
36,3
36,4
37,1
37,2
37,3
37,4
38,1
38,3
38,4
39,1
39,2
39,3
40,1
40,3
41,1
41,2
41,3
41,4
41,5
41,6
42,1
42,2
42,3
42,4
42,5
42,6
43,1
44,1
44,3
45,1
45,3
46,1
46,2
46,3
46,4
47,1
47,3
48,1
48,2
48,3
48,4
49,1
50,1
50,2
50,3
50,4
51,1
51,2
51,3
51,4
52,1
52,2
53,1
53,2
53,3
53,4
54,1
54,2
58,1
58,2
58,3
59,1
59,2
60,1
60,2
60,3
60,4
61,1
62,1
62,2
63,1
63,2
63,3
63,4
64,1
64,2
64,3
64,4
64,5
64,6
65,1
65,2
65,3
65,4
66,1
66,2
67,1
67,2
67,3
68,1
68,3
69,1
70,1
70,2
70,3
70,4
70,5
70,6
71,1
71,2
71,3
71,4
72,1
73,1
74,1
74,2
