observation_id,focus_id
1,4
1,7
2,4
2,7
3,5
3,7
4,7
4,8
5,7
5,9
6,5
9,8
15,7
15,8
18,7
18,8
19,1
21,6
21,7
21,8
22,2
23,3
23,9
26,2
27,7
28,7
29,1
29,10
28,10
18,10
31,6
31,10
34,2
34,4
34,7
34,11
35,7
35,8
36,8
37,7
39,8
41,3
42,6
42,9
43,1
43,5
43,7
43,8
43,10
44,7
45,7
45,8
46,7
47,3
47,7
47,9
49,7
49,8
49,9
49,10
50,11
52,6
52,7
52,8
52,9
53,10
54,3
54,8
54,9
54,10
58,2
58,3
59,8
59,9
60,1
60,3
61,10
62,3
62,7
63,10
64,3
64,7
64,9
64,10
67,7
68,7
68,8
69,3
69,7
69,10
70,7
70,10
72,7
72,8
72,10
73,7
73,8
74,2
75,2
75,3
75,4
75,5
75,9
76,7
77,6
77,7
77,10
78,7
80,5
80,7
80,8
80,10
81,1
81,10
82,3
82,10
83,3
83,9
83,10
85,7
85,8
85,10
86,7
86,8
86,10
88,6
88,11
89,3
89,7
89,9
89,11
90,7
90,10
91,10
92,6
93,7
94,7
94,9
95,8
97,2
97,6
97,10
99,3
99,10
102,5
102,6
102,9
103,3
104,8
104,10
105,8
107,7
107,10
